Count,sender,receiver,amount,currency,Mt,year,direction,category,send region,receiver region,mx/mt,transaction_status,payment_method
1,Mashreq Bank,United Arab Bank,38111.53,EUR,MT940,2015,Outgoing,Retail Payment,Central Asia,Middle East,MT,Completed,ACH
2,Barclays,RAK Bank,128668.3,GBP,MT799,2018,Incoming,FX Settlement,Latin America,Middle East,MT,Pending,Wire Transfer
3,Royal Bank of Canada,Emirates NBD,26914.61,EUR,MT103,2023,Outgoing,Retail Payment,Southeast Asia,Middle East,MT,Completed,Wire Transfer
4,Bank of China,First Abu Dhabi Bank,1248.98,USD,MT760,2015,Incoming,Trade Finance,Asia Pacific,Middle East,MT,Failed,ACH
5,BNP Paribas,Bank of Tokyo-Mitsubishi UFJ,6710.04,GBP,MT940,2016,Incoming,Loan Disbursement,Central Asia,Southeast Asia,MT,Failed,Check
6,Dubai Islamic Bank,Emirates NBD,14220.78,USD,MT950,2017,Incoming,Corporate Payment,Latin America,Middle East,MT,Completed,Check
7,Bank of America,Commercial Bank of Dubai,839.24,CNY,MT940,2016,Incoming,Loan Disbursement,Central Asia,Middle East,MT,Completed,ACH
8,Barclays,Mashreq Bank,4601.58,USD,MT202,2023,Outgoing,Treasury Operations,Central Asia,Middle East,MT,Completed,SWIFT
9,First Abu Dhabi Bank,National Bank of Fujairah,6215.93,USD,MT103,2023,Incoming,Trade Finance,Central Asia,Middle East,MT,Pending,SWIFT
10,Emirates NBD,First Abu Dhabi Bank,37429.08,AED,MT700,2021,Outgoing,Trade Finance,Africa,Middle East,MT,Completed,SWIFT
11,Credit Suisse,BNP Paribas,2293.35,USD,MT940,2020,Incoming,FX Settlement,Africa,Southeast Asia,MT,Pending,ACH
12,Barclays,Commercial Bank of Dubai,11463065.0,JPY,MT103,2020,Outgoing,Treasury Operations,Asia Pacific,Middle East,MT,Completed,ACH
13,Dubai Islamic Bank,BNP Paribas,7444.03,EUR,MT700,2020,Outgoing,FX Settlement,Caribbean,Southeast Asia,MT,Completed,Check
14,Bank of America,Mashreq Bank,36291.49,USD,MT799,2015,Outgoing,Retail Payment,Middle East,Middle East,MT,Pending,Wire Transfer
15,BNP Paribas,Morgan Stanley,34186.59,USD,MT799,2020,Incoming,Interbank Settlement,Middle East,Caribbean,MT,Completed,Check
16,Emirates NBD,BNP Paribas,84537.08,USD,MT700,2019,Incoming,Trade Finance,Middle East,North America,MT,Completed,ACH
17,JPMorgan Chase,Abu Dhabi Islamic Bank,22651.91,EUR,MT103,2022,Outgoing,Corporate Payment,Central Asia,Middle East,MT,Completed,Wire Transfer
18,Bank of Tokyo-Mitsubishi UFJ,Credit Suisse,3380.69,USD,MT103,2019,Incoming,Interbank Settlement,Caribbean,Africa,MT,Completed,Wire Transfer
19,Industrial and Commercial Bank of China,Mashreq Bank,24109.12,USD,MT799,2016,Incoming,Trade Finance,North America,Middle East,MT,Completed,Wire Transfer
20,HSBC,Mashreq Bank,753394.47,EUR,MT950,2023,Incoming,FX Settlement,Caribbean,Middle East,MT,Completed,ACH
21,Emirates NBD,RAK Bank,72153.27,USD,MT760,2019,Incoming,Investment,Latin America,Middle East,MT,Failed,Check
22,Bank of China,Emirates NBD,5630.3,USD,MT700,2020,Incoming,FX Settlement,Asia Pacific,Middle East,MT,Pending,Wire Transfer
23,Bank of America,First Abu Dhabi Bank,83388.64,USD,MT940,2023,Incoming,Trade Finance,North America,Middle East,MT,Completed,Check
24,BNP Paribas,Abu Dhabi Commercial Bank,200469.31,AED,MT700,2022,Incoming,Trade Finance,South Asia,Middle East,MT,Completed,Cash
25,UBS,First Abu Dhabi Bank,8617.72,AUD,MT760,2022,Incoming,Trade Finance,Europe,Middle East,MT,Completed,Wire Transfer
26,Abu Dhabi Commercial Bank,Standard Chartered,1005985.0,JPY,MT940,2022,Outgoing,Trade Finance,Asia Pacific,Latin America,MT,Completed,Cash
27,Bank of China,First Abu Dhabi Bank,1435374.0,JPY,MT760,2017,Outgoing,Trade Finance,Central Asia,Middle East,MT,Cancelled,Credit Card
28,Barclays,Royal Bank of Canada,108873.15,USD,MT103,2015,Outgoing,Trade Finance,Europe,Asia Pacific,MT,Completed,SWIFT
29,Wells Fargo,Abu Dhabi Commercial Bank,106300.06,USD,MT103,2021,Incoming,Trade Finance,Africa,Middle East,MT,Completed,SWIFT
30,Barclays,Abu Dhabi Islamic Bank,589983.69,AED,MT950,2018,Outgoing,FX Settlement,Asia Pacific,Middle East,MT,Completed,Credit Card
31,Bank of Tokyo-Mitsubishi UFJ,Commercial Bank of Dubai,21651.6,CHF,MT700,2021,Incoming,Treasury Operations,North America,Middle East,MT,Completed,ACH
32,Citibank,Mashreq Bank,40946.89,USD,MT950,2023,Outgoing,Interbank Settlement,Asia Pacific,Middle East,MT,Completed,Wire Transfer
33,Industrial and Commercial Bank of China,Abu Dhabi Commercial Bank,35984.19,CAD,MT799,2016,Outgoing,Investment,Africa,Latin America,MT,Completed,Check
34,Citibank,Dubai Islamic Bank,47092.21,USD,MT799,2017,Incoming,Loan Disbursement,North America,Middle East,MT,Completed,ACH
35,Wells Fargo,National Bank of Fujairah,114061.69,CNY,MT910,2022,Incoming,Corporate Payment,Latin America,Middle East,MT,Completed,ACH
36,UBS,Abu Dhabi Commercial Bank,13318.16,USD,MT950,2017,Outgoing,Trade Finance,Latin America,Middle East,MT,Completed,Wire Transfer
37,UBS,Abu Dhabi Islamic Bank,1611.9,GBP,MT760,2019,Incoming,Loan Disbursement,South Asia,Middle East,MT,Completed,SWIFT
38,Morgan Stanley,Emirates NBD,10242.08,USD,MT910,2018,Incoming,Investment,Asia Pacific,Middle East,MT,Completed,Wire Transfer
39,HSBC,Abu Dhabi Commercial Bank,374865.09,USD,MT202,2017,Outgoing,Investment,Latin America,Middle East,MT,Completed,Mobile Payment
40,Bank of Tokyo-Mitsubishi UFJ,Emirates NBD,7992.77,USD,MT910,2022,Outgoing,Investment,Africa,Middle East,MT,Completed,Wire Transfer
41,Royal Bank of Canada,National Bank of Umm Al Qaiwain,50229.84,USD,MT799,2021,Incoming,Interbank Settlement,Asia Pacific,Middle East,MT,Completed,Wire Transfer
42,Morgan Stanley,Abu Dhabi Commercial Bank,2782.69,EUR,MT910,2019,Outgoing,Trade Finance,Central Asia,Middle East,MT,Completed,ACH
43,Standard Chartered,Sharjah Islamic Bank,6920.69,USD,MT103,2022,Outgoing,Corporate Payment,Latin America,Middle East,MT,Completed,Wire Transfer
44,Barclays,Mashreq Bank,199639.9,GBP,MT799,2018,Outgoing,FX Settlement,Africa,Middle East,MT,Failed,SWIFT
45,JPMorgan Chase,National Bank of Umm Al Qaiwain,3731.78,USD,MT799,2018,Incoming,Interbank Settlement,Africa,Middle East,MT,Failed,Mobile Payment
46,Dubai Islamic Bank,Dubai Islamic Bank,31053.15,USD,MT950,2017,Incoming,Corporate Payment,Africa,Middle East,MT,Completed,Check
47,Citibank,Mashreq Bank,191173.15,GBP,MT202,2015,Incoming,Loan Disbursement,Southeast Asia,Middle East,MT,Pending,Wire Transfer
48,Citibank,RAK Bank,1933.54,GBP,MT760,2022,Incoming,FX Settlement,Caribbean,Middle East,MT,Completed,Wire Transfer
49,Morgan Stanley,Abu Dhabi Commercial Bank,17130.02,AED,MT700,2016,Outgoing,Interbank Settlement,Asia Pacific,Europe,MT,Completed,Check
50,Barclays,Emirates NBD,29924.25,USD,MT202,2022,Outgoing,Loan Disbursement,North America,Europe,MT,Completed,Mobile Payment
51,UBS,Sharjah Islamic Bank,2922.33,EUR,MT202,2022,Outgoing,Corporate Payment,Central Asia,Middle East,MT,Completed,ACH
52,Royal Bank of Canada,National Bank of Fujairah,5434.4,EUR,MT799,2019,Outgoing,FX Settlement,Asia Pacific,Middle East,MT,Completed,ACH
53,Bank of China,Bank of America,4608356.0,JPY,MT950,2019,Outgoing,Interbank Settlement,North America,Europe,MT,Completed,Wire Transfer
54,JPMorgan Chase,National Bank of Fujairah,2227.91,USD,MT103,2019,Incoming,Interbank Settlement,South Asia,Middle East,MT,Completed,Cash
55,Goldman Sachs,Emirates NBD,11885.38,CAD,MT940,2023,Incoming,Interbank Settlement,Asia Pacific,Middle East,MT,Completed,ACH
56,Bank of China,Mashreq Bank,96378.2,USD,MT760,2017,Outgoing,Interbank Settlement,Africa,Middle East,MT,Completed,Wire Transfer
57,Bank of China,BNP Paribas,6560.1,EUR,MT799,2023,Outgoing,Loan Disbursement,Europe,Latin America,MT,Failed,Wire Transfer
58,Credit Suisse,Emirates NBD,21737.07,USD,MT940,2020,Incoming,Treasury Operations,Central Asia,North America,MT,Completed,Cash
59,Wells Fargo,United Arab Bank,10866.53,USD,MT700,2021,Incoming,FX Settlement,North America,Middle East,MT,Completed,Wire Transfer
60,Industrial and Commercial Bank of China,BNP Paribas,26517.39,EUR,MT760,2022,Incoming,Interbank Settlement,Asia Pacific,Southeast Asia,MT,Completed,Wire Transfer
61,Bank of Tokyo-Mitsubishi UFJ,BNP Paribas,21407.05,USD,MT760,2017,Incoming,Corporate Payment,Middle East,Asia Pacific,MT,Completed,ACH
62,Credit Suisse,Abu Dhabi Islamic Bank,17968.91,AED,MT799,2018,Incoming,Investment,South Asia,Middle East,MT,Completed,Wire Transfer
63,Industrial and Commercial Bank of China,National Bank of Fujairah,13163.43,CAD,MT760,2017,Outgoing,FX Settlement,Africa,Middle East,MT,Completed,Wire Transfer
64,Royal Bank of Canada,United Arab Bank,43761.72,CHF,MT760,2018,Outgoing,Retail Payment,Middle East,Middle East,MT,Completed,Check
65,Mashreq Bank,National Bank of Fujairah,7686.95,SGD,MT910,2022,Incoming,Retail Payment,Caribbean,Middle East,MT,Completed,Cash
66,Abu Dhabi Commercial Bank,Sharjah Islamic Bank,5163.31,CAD,MT950,2023,Incoming,Interbank Settlement,Central Asia,Middle East,MT,Completed,Check
67,Barclays,Sharjah Islamic Bank,17385.89,USD,MT202,2022,Incoming,Interbank Settlement,Africa,Middle East,MT,Completed,Cash
68,Bank of Tokyo-Mitsubishi UFJ,Industrial and Commercial Bank of China,2885.38,USD,MT760,2015,Outgoing,Interbank Settlement,Asia Pacific,Southeast Asia,MT,Completed,ACH
69,Wells Fargo,Morgan Stanley,3040.11,CNY,MT202,2019,Outgoing,Treasury Operations,Africa,Latin America,MT,Completed,Check
70,Citibank,Commercial Bank of Dubai,1260954.86,AED,MT950,2016,Outgoing,Trade Finance,Africa,Middle East,MT,Completed,Wire Transfer
71,Bank of Tokyo-Mitsubishi UFJ,United Arab Bank,28308.96,EUR,MT700,2020,Outgoing,Trade Finance,Africa,Middle East,MT,Completed,SWIFT
72,Deutsche Bank,National Bank of Umm Al Qaiwain,122795.56,AED,MT940,2020,Outgoing,Investment,Asia Pacific,Middle East,MT,Pending,Credit Card
73,Standard Chartered,Mashreq Bank,13772.99,USD,MT700,2020,Outgoing,Treasury Operations,Middle East,Middle East,MT,Pending,Wire Transfer
74,Industrial and Commercial Bank of China,RAK Bank,1500.62,GBP,MT760,2018,Outgoing,FX Settlement,Caribbean,Middle East,MT,Cancelled,Wire Transfer
75,HSBC,Commercial Bank of Dubai,2616799.0,JPY,MT910,2021,Incoming,Treasury Operations,South Asia,Middle East,MT,Completed,ACH
76,Mashreq Bank,Abu Dhabi Islamic Bank,828262.92,AED,MT799,2016,Incoming,Corporate Payment,Asia Pacific,Middle East,MT,Completed,Wire Transfer
77,HSBC,BNP Paribas,1395.73,EUR,MT940,2018,Incoming,Interbank Settlement,South Asia,Europe,MT,Completed,Wire Transfer
78,Mashreq Bank,National Bank of Umm Al Qaiwain,192241.6,USD,MT202,2015,Outgoing,Trade Finance,Africa,Middle East,MT,Completed,Check
79,UBS,Wells Fargo,14442.38,AUD,MT799,2021,Incoming,Treasury Operations,Asia Pacific,North America,MT,Completed,Credit Card
80,Bank of China,United Arab Bank,1813.4,USD,MT950,2020,Incoming,FX Settlement,Middle East,Middle East,MT,Completed,ACH
81,JPMorgan Chase,First Abu Dhabi Bank,33322.47,GBP,MT700,2017,Outgoing,Treasury Operations,Africa,Middle East,MT,Pending,Wire Transfer
82,UBS,Commercial Bank of Dubai,22529.85,USD,MT103,2022,Outgoing,Trade Finance,Southeast Asia,Middle East,MT,Completed,Wire Transfer
83,Industrial and Commercial Bank of China,Dubai Islamic Bank,15519.91,GBP,MT950,2019,Incoming,Retail Payment,North America,Southeast Asia,MT,Pending,Cash
84,Citibank,RAK Bank,20952.62,AED,MT799,2016,Incoming,Loan Disbursement,Central Asia,Middle East,MT,Completed,ACH
85,Dubai Islamic Bank,RAK Bank,15072.41,USD,MT700,2019,Outgoing,Retail Payment,Caribbean,Middle East,MT,Completed,Wire Transfer
86,Mashreq Bank,National Bank of Umm Al Qaiwain,26666.19,USD,MT202,2023,Incoming,Retail Payment,Asia Pacific,Middle East,MT,Completed,ACH
87,Standard Chartered,National Bank of Umm Al Qaiwain,8351.03,USD,MT103,2019,Outgoing,Interbank Settlement,South Asia,Middle East,MT,Completed,Wire Transfer
88,JPMorgan Chase,National Bank of Fujairah,3696.56,EUR,MT940,2019,Incoming,Loan Disbursement,Latin America,Middle East,MT,Completed,ACH
89,Barclays,RAK Bank,4647.71,USD,MT910,2015,Incoming,Corporate Payment,Europe,Middle East,MT,Completed,Cash
90,First Abu Dhabi Bank,Commercial Bank of Dubai,12416.85,GBP,MT103,2019,Outgoing,Investment,Africa,Middle East,MT,Completed,ACH
91,Bank of China,Dubai Islamic Bank,72854.99,USD,MT910,2015,Outgoing,Investment,Central Asia,Middle East,MT,Completed,SWIFT
92,HSBC,United Arab Bank,23278.54,EUR,MT700,2021,Outgoing,Interbank Settlement,Africa,Middle East,MT,Pending,Wire Transfer
93,Bank of Tokyo-Mitsubishi UFJ,Dubai Islamic Bank,33511.23,USD,MT940,2015,Outgoing,Corporate Payment,Latin America,Middle East,MT,Completed,SWIFT
94,Emirates NBD,Dubai Islamic Bank,360.89,USD,MT700,2015,Outgoing,Investment,Europe,Middle East,MT,Pending,SWIFT
95,Standard Chartered,Abu Dhabi Islamic Bank,2022.31,GBP,MT760,2020,Outgoing,Loan Disbursement,Africa,Middle East,MT,Completed,Wire Transfer
96,Credit Suisse,United Arab Bank,26422.6,EUR,MT910,2018,Outgoing,Retail Payment,North America,Middle East,MT,Completed,ACH
97,Abu Dhabi Commercial Bank,Goldman Sachs,28412.77,USD,MT700,2019,Outgoing,FX Settlement,Latin America,Latin America,MT,Completed,Wire Transfer
98,Barclays,United Arab Bank,92436.99,AED,MT910,2019,Incoming,Investment,Asia Pacific,Middle East,MT,Completed,Check
99,Standard Chartered,First Abu Dhabi Bank,34018.59,USD,MT799,2016,Incoming,Trade Finance,Europe,Middle East,MT,Completed,ACH
100,BNP Paribas,Credit Suisse,371542.72,GBP,MT103,2015,Outgoing,Loan Disbursement,North America,Asia Pacific,MT,Completed,Credit Card
101,Citibank,Abu Dhabi Islamic Bank,7182.04,USD,MT940,2019,Outgoing,Investment,Latin America,Middle East,MT,Completed,Wire Transfer
102,Goldman Sachs,RAK Bank,17938.36,GBP,MT760,2019,Outgoing,Loan Disbursement,North America,Middle East,MT,Completed,SWIFT
103,BNP Paribas,United Arab Bank,10603.16,USD,MT799,2019,Outgoing,Loan Disbursement,North America,Middle East,MT,Completed,SWIFT
104,Bank of Tokyo-Mitsubishi UFJ,Abu Dhabi Commercial Bank,148141.39,AED,MT700,2022,Incoming,Trade Finance,Latin America,Middle East,MT,Completed,SWIFT
105,Mashreq Bank,Bank of America,20337.36,EUR,MT799,2022,Outgoing,Interbank Settlement,Europe,South Asia,MT,Completed,Wire Transfer
106,Goldman Sachs,First Abu Dhabi Bank,802923.63,EUR,MT202,2016,Outgoing,Retail Payment,Africa,Middle East,MT,Completed,ACH
107,UBS,Barclays,11963.12,USD,MT700,2022,Incoming,Corporate Payment,Central Asia,Caribbean,MT,Completed,SWIFT
108,Citibank,RAK Bank,249413.0,JPY,MT760,2019,Incoming,Interbank Settlement,Middle East,Middle East,MT,Completed,Wire Transfer
109,Standard Chartered,Credit Suisse,315059.83,EUR,MT799,2015,Incoming,FX Settlement,South Asia,North America,MT,Completed,Wire Transfer
110,Citibank,Mashreq Bank,165732.46,AUD,MT910,2015,Incoming,Investment,Caribbean,Latin America,MT,Completed,ACH
111,Bank of Tokyo-Mitsubishi UFJ,Goldman Sachs,7518.18,AED,MT202,2021,Incoming,Trade Finance,Africa,South Asia,MT,Completed,ACH
112,JPMorgan Chase,Dubai Islamic Bank,156483.41,EUR,MT700,2019,Incoming,Corporate Payment,Caribbean,Middle East,MT,Completed,Wire Transfer
113,HSBC,United Arab Bank,1965.17,EUR,MT700,2022,Incoming,FX Settlement,South Asia,Middle East,MT,Completed,Wire Transfer
114,Deutsche Bank,Mashreq Bank,14896.73,CHF,MT103,2020,Outgoing,Loan Disbursement,Latin America,Middle East,MT,Completed,Wire Transfer
115,Wells Fargo,Mashreq Bank,36518.69,EUR,MT760,2018,Incoming,Investment,Central Asia,Middle East,MT,Pending,SWIFT
116,Citibank,Abu Dhabi Islamic Bank,19125.9,EUR,MT950,2015,Outgoing,Investment,North America,Middle East,MT,Completed,SWIFT
117,Bank of China,RAK Bank,6796.0,AED,MT202,2019,Incoming,Investment,North America,Middle East,MT,Completed,Check
118,Deutsche Bank,First Abu Dhabi Bank,63032.98,USD,MT103,2015,Incoming,Treasury Operations,Caribbean,Middle East,MT,Completed,Credit Card
119,UBS,Emirates NBD,4163.6,USD,MT760,2019,Incoming,Corporate Payment,Caribbean,Asia Pacific,MT,Completed,ACH
120,Citibank,National Bank of Fujairah,305103.29,USD,MT950,2021,Outgoing,Retail Payment,Central Asia,Middle East,MT,Completed,Wire Transfer
121,Mashreq Bank,Mashreq Bank,46663.44,USD,MT202,2020,Outgoing,FX Settlement,Central Asia,Middle East,MT,Completed,Wire Transfer
122,Dubai Islamic Bank,United Arab Bank,4537.41,CAD,MT760,2018,Outgoing,Investment,Africa,Middle East,MT,Completed,Wire Transfer
123,Bank of China,Abu Dhabi Commercial Bank,30536.58,EUR,MT202,2017,Outgoing,Loan Disbursement,Africa,Middle East,MT,Completed,Mobile Payment
124,UBS,Abu Dhabi Commercial Bank,3372.23,USD,MT940,2023,Incoming,Interbank Settlement,Africa,Middle East,MT,Completed,ACH
125,Credit Suisse,Abu Dhabi Commercial Bank,12702.32,AUD,MT760,2016,Incoming,Trade Finance,Southeast Asia,Middle East,MT,Completed,Wire Transfer
126,Dubai Islamic Bank,Abu Dhabi Islamic Bank,164191.18,AED,MT103,2020,Incoming,Retail Payment,North America,Middle East,MT,Completed,Wire Transfer
127,Barclays,Abu Dhabi Commercial Bank,2915.28,USD,MT700,2023,Incoming,Interbank Settlement,Southeast Asia,Middle East,MT,Completed,ACH
128,First Abu Dhabi Bank,Abu Dhabi Commercial Bank,67164.23,USD,MT700,2017,Incoming,Corporate Payment,Africa,Middle East,MT,Cancelled,SWIFT
129,Credit Suisse,Deutsche Bank,1637289.58,AED,MT940,2017,Outgoing,Corporate Payment,Latin America,Europe,MT,Completed,Wire Transfer
130,Deutsche Bank,United Arab Bank,54932.94,EUR,MT760,2016,Outgoing,Trade Finance,Africa,Middle East,MT,Cancelled,Credit Card
131,First Abu Dhabi Bank,Emirates NBD,1183.43,EUR,MT950,2018,Incoming,Interbank Settlement,Latin America,Middle East,MT,Failed,ACH
132,Goldman Sachs,Mashreq Bank,2423.46,GBP,MT202,2020,Outgoing,Treasury Operations,Central Asia,Middle East,MT,Completed,Wire Transfer
133,Bank of America,Emirates NBD,67646.58,CNY,MT940,2016,Outgoing,FX Settlement,Latin America,Middle East,MT,Completed,Cash
134,Citibank,Sharjah Islamic Bank,209286.09,USD,MT760,2021,Outgoing,Retail Payment,Middle East,Middle East,MT,Completed,Wire Transfer
135,First Abu Dhabi Bank,United Arab Bank,123489.32,USD,MT103,2022,Incoming,Trade Finance,North America,Middle East,MT,Completed,Mobile Payment
136,Emirates NBD,RAK Bank,6520.56,EUR,MT940,2021,Outgoing,Retail Payment,Europe,Middle East,MT,Completed,Credit Card
137,Abu Dhabi Commercial Bank,Morgan Stanley,1565.09,USD,MT700,2015,Outgoing,Treasury Operations,North America,Caribbean,MT,Completed,SWIFT
138,Industrial and Commercial Bank of China,Mashreq Bank,449726.31,AED,MT940,2020,Outgoing,Trade Finance,Caribbean,South Asia,MT,Completed,SWIFT
139,Bank of China,Commercial Bank of Dubai,168092.17,USD,MT202,2020,Outgoing,FX Settlement,Southeast Asia,Middle East,MT,Completed,Wire Transfer
140,Industrial and Commercial Bank of China,Abu Dhabi Islamic Bank,87592.01,EUR,MT910,2016,Incoming,Loan Disbursement,Africa,Middle East,MT,Pending,Mobile Payment
141,Goldman Sachs,RAK Bank,439677.08,AED,MT202,2022,Outgoing,Corporate Payment,Caribbean,Middle East,MT,Completed,ACH
142,JPMorgan Chase,National Bank of Umm Al Qaiwain,19523.54,USD,MT202,2021,Outgoing,Treasury Operations,Central Asia,Middle East,MT,Completed,SWIFT
143,Abu Dhabi Commercial Bank,Abu Dhabi Islamic Bank,150098.52,AED,MT103,2017,Outgoing,Corporate Payment,North America,Middle East,MT,Completed,Mobile Payment
144,UBS,First Abu Dhabi Bank,1218.62,USD,MT202,2016,Incoming,Investment,Caribbean,Europe,MT,Pending,Credit Card
145,Wells Fargo,First Abu Dhabi Bank,18052.96,EUR,MT760,2017,Outgoing,Trade Finance,Southeast Asia,Middle East,MT,Completed,Check
146,BNP Paribas,Dubai Islamic Bank,35149.13,AED,MT910,2019,Outgoing,Retail Payment,Central Asia,Middle East,MT,Completed,Wire Transfer
147,Bank of America,Abu Dhabi Commercial Bank,908.5,GBP,MT760,2015,Outgoing,Corporate Payment,Africa,Middle East,MT,Completed,Credit Card
148,Emirates NBD,Deutsche Bank,360078.0,JPY,MT910,2016,Incoming,Retail Payment,Europe,Central Asia,MT,Completed,ACH
149,Morgan Stanley,Dubai Islamic Bank,107811.05,EUR,MT202,2022,Outgoing,Corporate Payment,South Asia,Middle East,MT,Completed,Mobile Payment
150,Industrial and Commercial Bank of China,Sharjah Islamic Bank,919747.54,AED,MT910,2015,Outgoing,Treasury Operations,Latin America,Middle East,MT,Failed,SWIFT
151,Industrial and Commercial Bank of China,Credit Suisse,56793.06,USD,MT700,2016,Incoming,Corporate Payment,North America,Asia Pacific,MT,Completed,Wire Transfer
152,JPMorgan Chase,Commercial Bank of Dubai,655452.55,GBP,MT799,2020,Outgoing,Trade Finance,South Asia,Middle East,MT,Completed,Wire Transfer
153,Standard Chartered,HSBC,1991.69,EUR,MT700,2023,Outgoing,Corporate Payment,Southeast Asia,Southeast Asia,MT,Pending,ACH
154,Barclays,Standard Chartered,6395.8,EUR,MT940,2018,Incoming,FX Settlement,Africa,Europe,MT,Completed,SWIFT
155,Wells Fargo,Commercial Bank of Dubai,73037.13,EUR,MT950,2016,Incoming,FX Settlement,North America,Middle East,MT,Completed,Wire Transfer
156,Goldman Sachs,Bank of China,23244.92,USD,MT700,2023,Outgoing,FX Settlement,South Asia,South Asia,MT,Pending,ACH
157,First Abu Dhabi Bank,National Bank of Fujairah,547307.0,JPY,MT799,2016,Incoming,Trade Finance,Asia Pacific,Middle East,MT,Completed,Wire Transfer
158,UBS,Emirates NBD,197154.86,AED,MT940,2019,Incoming,Interbank Settlement,Europe,Latin America,MT,Completed,Check
159,Abu Dhabi Commercial Bank,BNP Paribas,75104.0,AUD,MT103,2020,Incoming,Loan Disbursement,Europe,Europe,MT,Completed,ACH
160,First Abu Dhabi Bank,First Abu Dhabi Bank,2358.8,USD,MT700,2016,Incoming,Loan Disbursement,Southeast Asia,Middle East,MT,Completed,Wire Transfer
161,HSBC,National Bank of Umm Al Qaiwain,54821.89,USD,MT760,2015,Incoming,FX Settlement,Middle East,Middle East,MT,Completed,Wire Transfer
162,Industrial and Commercial Bank of China,National Bank of Umm Al Qaiwain,29141.36,USD,MT202,2022,Incoming,Trade Finance,Latin America,Middle East,MT,Completed,Wire Transfer
163,Wells Fargo,Abu Dhabi Commercial Bank,387737.56,EUR,MT760,2023,Outgoing,Treasury Operations,North America,Middle East,MT,Completed,ACH
164,Mashreq Bank,First Abu Dhabi Bank,7260.39,USD,MT940,2020,Incoming,Corporate Payment,Europe,Middle East,MT,Failed,Wire Transfer
165,Industrial and Commercial Bank of China,JPMorgan Chase,31963.17,GBP,MT760,2019,Incoming,Corporate Payment,Middle East,Southeast Asia,MT,Completed,Wire Transfer
166,JPMorgan Chase,Emirates NBD,10372.56,CAD,MT950,2018,Incoming,Treasury Operations,Africa,Middle East,MT,Pending,Mobile Payment
167,Standard Chartered,Royal Bank of Canada,13153.82,USD,MT202,2021,Incoming,Investment,Europe,Caribbean,MT,Completed,Cash
168,Industrial and Commercial Bank of China,National Bank of Fujairah,825715.76,AED,MT202,2018,Outgoing,Interbank Settlement,Central Asia,Middle East,MT,Completed,ACH
